,Dormitorios,Superficie,Num_baños,Metro,Renfe,Tipo_de_inmueble,Año_de_construccion,Calefaccion,Etiqueta,Aire acondicionado,Ascensor,Jardin,Tipo,distrito/ciudad,Latitud,Longitud,Precio,residuos
113,4.0,155.0,1.0,0.0,0.0,Media,1987.0,0.0,G,0.0,0.0,0.0,casa,Los Santos De La Humosa,40.5012957,-3.2566803,189900.0,54158.0
114,2.0,58.0,1.0,1.0,0.0,Popular,1960.0,0.0,En proceso,1.0,0.0,0.0,piso,Canillejas,40.4416267,-3.6093074,124000.0,18808.0
115,2.0,53.0,1.0,1.0,0.0,Popular,1960.0,0.0,G,0.0,0.0,0.0,piso,Rosas,40.4278,-3.6006,115000.0,26340.0
116,3.0,152.0,3.0,0.0,0.0,Media,2008.0,1.0,En proceso,0.0,0.0,0.0,casa,Villalbilla,40.4323665,-3.2987815,239500.0,3652.0
117,3.0,84.0,1.0,0.0,0.0,Media,1975.0,1.0,En proceso,0.0,1.0,0.0,piso,Móstoles,40.3238525,-3.8649214,179000.0,39172.0
118,3.0,95.0,1.0,1.0,0.0,Popular,1974.0,1.0,E,1.0,0.0,0.0,piso,Aluche,40.392356,-3.7571096,279000.0,40868.0
119,2.0,128.0,2.0,0.0,0.0,Popular,1973.0,1.0,E,0.0,1.0,0.0,piso,Majadahonda,40.473055,-3.8724138,365000.0,9130.0
120,2.0,90.0,1.0,0.0,0.0,Media,1977.0,1.0,G,0.0,1.0,0.0,piso,San Martín de la Vega,40.2110462,-3.5771806,110000.0,12530.0
121,3.0,103.0,2.0,0.0,1.0,Popular,1977.0,1.0,D,0.0,1.0,0.0,piso,Móstoles,40.3238525,-3.8649214,222000.0,20688.0
122,3.0,74.0,1.0,1.0,0.0,Señorial,1968.0,0.0,En proceso,0.0,1.0,0.0,piso,San Isidro,40.3952,-3.7293,155000.0,4260.0
123,5.0,188.0,4.0,0.0,0.0,Popular,2000.0,1.0,D,1.0,0.0,0.0,casa,Alameda de Osuna,40.4575814,-3.5879745,812000.0,215924.0
124,4.0,131.0,2.0,0.0,0.0,Media,1986.0,0.0,E,0.0,0.0,0.0,casa,Villaviciosa de Odón,40.3573787,-3.9002334,399000.0,85410.0
125,1.0,171.0,1.0,1.0,0.0,Media,2007.0,1.0,D,0.0,0.0,0.0,piso,Rivas-Vaciamadrid,40.3536054,-3.5310879,230000.0,114564.0
126,3.0,80.0,1.0,1.0,0.0,Media,1970.0,0.0,G,0.0,0.0,0.0,piso,Carabanchel,40.3742112,-3.744676,170000.0,28580.0
127,3.0,88.0,1.0,1.0,0.0,Popular,1960.0,0.0,E,0.0,1.0,0.0,piso,Almendrales,40.3843762,-3.6992931,220000.0,14214.0
128,2.0,71.0,2.0,1.0,0.0,Media,1900.0,1.0,E,1.0,1.0,0.0,piso,Salamanca,40.4316,-3.679,449000.0,1838.0
